Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,6,0,25,23,353,58,0,0,0.36,1,13,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java,54
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomService,0,0,3,2,93,11,0,0,-1.0,1,8,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomService.java,47
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandlerFactory,0,0,1,1,11,1,0,0,-1.0,0,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandlerFactory.java,26
java,org.apache.roller.weblogger.webservices.oauth,RequestTokenServlet,1,0,4,4,48,6,0,0,0.0,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/oauth/RequestTokenServlet.java,39
java,org.apache.roller.weblogger.webservices.oauth,AccessTokenServlet,1,0,4,4,43,6,0,0,0.0,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/oauth/AccessTokenServlet.java,38
java,org.apache.roller.weblogger.webservices.oauth,AuthorizationServlet,1,0,5,3,90,14,0,0,0.0,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/oauth/AuthorizationServlet.java,37
java,org.apache.roller.weblogger.business,FileContentManagerImpl,2,0,14,9,247,52,0,1,0.2857142857142857,1,9,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/FileContentManagerImpl.java,39
java,org.apache.roller.weblogger.business,WebloggerImpl,24,0,27,26,270,31,1,1,0.0,0,24,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/WebloggerImpl.java,45
java,org.apache.roller.weblogger.business,DatabaseProvider,10,0,12,10,127,19,0,0,0.0,3,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/DatabaseProvider.java,36
java,org.apache.roller.weblogger.business,DatabaseProvider.ConfigurationType,0,0,0,0,1,0,0,0,-1.0,1,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/DatabaseProvider.java,65
java,org.apache.roller.weblogger.business,BootstrapException,0,0,2,2,11,2,0,2,-1.0,2,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/BootstrapException.java,24
java,org.apache.roller.weblogger.business,TestTask,1,1,8,8,25,8,0,2,1.0,0,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/TestTask.java,24
java,org.apache.roller.weblogger.business,MailProvider,7,0,3,3,91,12,0,0,0.0,2,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/MailProvider.java,34
java,org.apache.roller.weblogger.business,MailProvider.ConfigurationType,0,0,0,0,1,0,0,0,-1.0,1,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/MailProvider.java,41
java,org.apache.roller.weblogger.business,WebloggerProvider,0,0,2,0,13,2,1,0,-1.0,3,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/WebloggerProvider.java,22
java,org.apache.roller.weblogger.business,FileNotFoundException,0,0,3,3,14,3,0,2,-1.0,2,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/FileNotFoundException.java,24
java,org.apache.roller.weblogger.business,InitializationException,0,0,2,2,11,2,0,2,-1.0,10,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/InitializationException.java,24
java,org.apache.roller.weblogger.business,FilePathException,0,0,3,3,14,3,0,2,-1.0,2,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/FilePathException.java,24
java,org.apache.roller.weblogger.business,URLStrategy,0,0,30,0,110,30,1,0,-1.0,38,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/URLStrategy.java,26
java,org.apache.roller.weblogger.business,FileIOException,0,0,3,3,14,3,0,2,-1.0,2,0,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/FileIOException.java,24
java,org.apache.roller.weblogger.business,MediaFileManager,2,0,25,0,110,25,1,0,-1.0,23,6,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/MediaFileManager.java,31
java,org.apache.roller.weblogger.business,MultiWeblogURLStrategy,0,0,22,22,280,58,1,2,-1.0,1,5,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/MultiWeblogURLStrategy.java,31
java,org.apache.roller.weblogger.business,Weblogger,0,0,27,0,104,27,1,0,-1.0,38,21,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/Weblogger.java,33
java,org.apache.roller.weblogger.business,PreviewURLStrategy,2,0,6,6,181,39,0,3,0.0,0,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/PreviewURLStrategy.java,31
java,org.apache.roller.weblogger.business,OAuthManager,0,0,11,0,55,11,1,0,-1.0,9,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/OAuthManager.java,31
java,org.apache.roller.weblogger.business,PropertiesManager,0,0,6,0,30,6,1,0,-1.0,11,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/PropertiesManager.java,26
java,org.apache.roller.weblogger.business,WeblogManager,0,0,22,0,114,22,1,0,-1.0,18,5,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/WeblogManager.java,33
java,org.apache.roller.weblogger.business,WebloggerFactory,2,0,5,4,74,11,0,0,0.4,160,6,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/WebloggerFactory.java,28
java,org.apache.roller.weblogger.business,HitCountQueue,4,0,6,5,58,8,0,0,0.3333333333333333,3,6,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/HitCountQueue.java,34
java,org.apache.roller.weblogger.business,GuiceWebloggerProvider,2,0,4,4,42,4,0,1,0.5,2,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/GuiceWebloggerProvider.java,29
java,org.apache.roller.weblogger.business,FileContentManager,0,0,7,0,58,7,1,0,-1.0,5,6,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/FileContentManager.java,26
java,org.apache.roller.weblogger.business,AbstractURLStrategy,1,0,10,10,144,22,1,1,0.2,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/AbstractURLStrategy.java,27
java,org.apache.roller.weblogger.business,UserManager,0,0,31,0,178,31,1,0,-1.0,29,5,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/UserManager.java,31
java,org.apache.roller.weblogger.business,WeblogEntryManager,0,0,43,0,245,43,1,0,-1.0,50,8,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/WeblogEntryManager.java,37
